code,barcode,name,productID,status
P273812-60cm,737879103418,Black Bear Weighted Companion Plush - 24inch - 1/pk 12bx/cs cs.12,2873,created
P273815-60cm,737879103449,Dairy Cow Weighted Companion Plush - 24inch - 1/pk 12bx/cs cs.12,2874,created
P273798-60cm,737879103272,Red Panda Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12,2875,created
P273805-60cm,737879103340,Turtle Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12,2876,created
P273807-46cm,737879104286,Panda Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18,2877,created
P273810-46cm,737879104262,Unicorn Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18,2878,created
P273810-60cm,737879103395,Unicorn Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12,2879,created
P273816-46cm,737879104279,Axolotl Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18,2880,created
P273800-46cm,737879104231,Brown Bear Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18,2881,created
P273803-60cm,01033918056404,Highland Cow Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12,2882,created
P273798-46cm,737879104354,Red Panda Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18,2883,created
P273802-46cm,737879104248,Triceratops Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18,2884,created
